scenario_id,scenario_name,current_query,target_query,is_expected,rank,training_course_id,course_name,level,major,sub,hours,method,confidence_score,confidence_grade,final_score,reasons,direct_unit_evidence,sibling_scope_evidence,goal_direct_hits,goal_token_hits,goal_element_hits,goal_unit_core_hits,training_goal_ksa_score,gap_ksa_score,support_score,penalty_score
3,recruiting_to_hr_development,인력채용,교육훈련운영,True,1,272,교육훈련운영,4,경영·회계·사무,인사,20,집체훈련현장실습,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_job_base_bridge;level_fit;query_text_match;resolved_scope_unit_link;source_element_coverage;source_ksa_concept_overlap;source_unit_link;target_qualification_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;transition_unit_link,True,True,0,1,13,0,0.1713,0.0,0.2,0.0
3,recruiting_to_hr_development,인력채용,교육훈련운영,True,2,271,핵심인재관리,5,경영·회계·사무,인사,24,집체훈련현장실습,0.563,medium,0.5627,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,0,0,1,0,0.0124,0.0,0.22,0.0
3,recruiting_to_hr_development,인력채용,교육훈련운영,False,3,281,노사관계 교육훈련,4,경영·회계·사무,노무관리,16,집체훈련현장실습,0.489,low,0.4894,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,0,0,2,0,0.0248,0.0,0.1,0.0
3,recruiting_to_hr_development,인력채용,교육훈련운영,False,4,282,단체교섭준비,5,경영·회계·사무,노무관리,20,집체훈련현장실습,0.242,low,0.2419,classification_match;delivery_fit;gap_job_base_bridge;level_fit;non_target_labor_course_penalty;sibling_classification_link;source_ksa_concept_overlap;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,0,0,1,0,0.0056,0.0,0.0,-0.12
3,recruiting_to_hr_development,인력채용,교육훈련운영,False,5,266,인사기획,6,경영·회계·사무,인사,24,집체훈련,0.427,low,0.427,classification_match;delivery_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.16,-0.03
4,general_affairs_to_hr_planning,총무,인사기획,True,1,266,인사기획,6,경영·회계·사무,인사,24,집체훈련,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;level_fit;query_text_match;resolved_scope_unit_link;source_element_coverage;source_ksa_concept_overlap;source_unit_link;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;transition_unit_link,True,True,0,2,10,0,0.144,0.0,0.2,0.0
4,general_affairs_to_hr_planning,총무,인사기획,True,2,267,직무관리,5,경영·회계·사무,인사,24,집체훈련현장실습,0.567,medium,0.5665,classification_match;delivery_fit;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage,False,True,0,0,0,0,0.0,0.0,0.24,0.0
4,general_affairs_to_hr_planning,총무,인사기획,False,3,284,단체협약이행,3,경영·회계·사무,노무관리,20,집체훈련현장실습,0.209,low,0.2087,classification_match;delivery_fit;non_target_labor_course_penalty;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,0,0,1,0,0.0124,0.0,0.0,-0.12
4,general_affairs_to_hr_planning,총무,인사기획,False,4,273,임금관리,5,경영·회계·사무,인사,30,집체훈련현장실습,0.48,low,0.4804,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage;diversity_penalty,False,True,0,0,1,0,0.0124,0.0,0.16,-0.03
4,general_affairs_to_hr_planning,총무,인사기획,True,5,268,인력채용,5,경영·회계·사무,인사,30,집체훈련현장실습,0.48,low,0.4803,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.18,-0.03
5,general_affairs_to_recruiting,총무,인력채용,True,1,268,인력채용,5,경영·회계·사무,인사,30,집체훈련현장실습,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_qualification_bridge;level_fit;query_text_match;resolved_scope_unit_link;source_element_coverage;source_ksa_concept_overlap;source_unit_link;target_job_base_signal;target_support_course_hint;time_depth_fit;training_goal_ksa_coverage;transition_unit_link,True,True,0,1,0,0,0.0224,0.0,0.2,0.0
5,general_affairs_to_recruiting,총무,인력채용,True,2,267,직무관리,5,경영·회계·사무,인사,24,집체훈련현장실습,0.579,medium,0.579,classification_match;delivery_fit;gap_qualification_bridge;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage,False,True,0,0,0,0,0.0,0.0,0.2,0.0
5,general_affairs_to_recruiting,총무,인력채용,False,3,284,단체협약이행,3,경영·회계·사무,노무관리,20,집체훈련현장실습,0.247,low,0.2471,classification_match;delivery_fit;non_target_labor_course_penalty;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;time_depth_fit;time_efficiency;training_goal_direct_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,1,0,0,0,0.0315,0.0,0.0,-0.12
5,general_affairs_to_recruiting,총무,인력채용,False,4,282,단체교섭준비,5,경영·회계·사무,노무관리,20,집체훈련현장실습,0.239,low,0.2388,classification_match;delivery_fit;level_fit;non_target_labor_course_penalty;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;time_depth_fit;time_efficiency;unit_element_coverage,False,True,0,0,0,0,0.0,0.0,0.0,-0.12
5,general_affairs_to_recruiting,총무,인력채용,True,5,266,인사기획,6,경영·회계·사무,인사,24,집체훈련,0.529,medium,0.5287,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage;diversity_penalty,False,True,0,0,1,0,0.0124,0.0,0.22,-0.03
6,general_affairs_to_compensation,총무,임금관리,True,1,273,임금관리,5,경영·회계·사무,인사,30,집체훈련현장실습,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_ksa_concept_coverage;gap_qualification_bridge;level_fit;practice_delivery_fit;query_text_match;resolved_scope_unit_link;source_element_coverage;source_ksa_concept_overlap;source_unit_link;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_direct_ksa_coverage;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;transition_unit_link,True,True,1,0,7,0,0.1413,0.0236,0.2,0.0
6,general_affairs_to_compensation,총무,임금관리,True,2,274,급여지급,3,경영·회계·사무,인사,20,집체훈련현장실습,0.705,medium,0.7049,classification_match;delivery_fit;gap_ksa_concept_coverage;practice_delivery_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_direct_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,1,0,0,0,0.084,0.0145,0.24,0.0
6,general_affairs_to_compensation,총무,임금관리,False,3,284,단체협약이행,3,경영·회계·사무,노무관리,20,집체훈련현장실습,0.261,low,0.261,classification_match;delivery_fit;gap_ksa_concept_coverage;non_target_labor_course_penalty;practice_delivery_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,0,0,1,0,0.0248,0.0024,0.0,-0.12
6,general_affairs_to_compensation,총무,임금관리,True,4,266,인사기획,6,경영·회계·사무,인사,24,집체훈련,0.508,medium,0.5076,classification_match;delivery_fit;gap_ksa_concept_coverage;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage;diversity_penalty,False,True,0,0,1,0,0.0248,0.0047,0.18,-0.03
6,general_affairs_to_compensation,총무,임금관리,False,5,275,복리후생관리,4,경영·회계·사무,인사,20,집체훈련현장실습,0.457,low,0.4565,classification_match;delivery_fit;gap_qualification_bridge;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.12,-0.03
7,general_affairs_to_benefits,총무,복리후생관리,True,1,275,복리후생관리,4,경영·회계·사무,인사,20,집체훈련현장실습,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_qualification_bridge;level_fit;query_text_match;resolved_scope_unit_link;source_element_coverage;source_ksa_concept_overlap;source_unit_link;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_ksa_coverage;transition_unit_link,True,True,0,3,0,0,0.0671,0.0,0.2,0.0
7,general_affairs_to_benefits,총무,복리후생관리,True,2,273,임금관리,5,경영·회계·사무,인사,30,집체훈련현장실습,0.593,medium,0.5925,classification_match;delivery_fit;gap_qualification_bridge;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage,False,True,0,0,0,0,0.0,0.0,0.22,0.0
7,general_affairs_to_benefits,총무,복리후생관리,True,3,266,인사기획,6,경영·회계·사무,인사,24,집체훈련,0.451,low,0.451,classification_match;delivery_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.18,-0.03
7,general_affairs_to_benefits,총무,복리후생관리,False,4,274,급여지급,3,경영·회계·사무,인사,20,집체훈련현장실습,0.443,low,0.4425,classification_match;delivery_fit;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.14,-0.03
7,general_affairs_to_benefits,총무,복리후생관리,False,5,272,교육훈련운영,4,경영·회계·사무,인사,20,집체훈련현장실습,0.394,low,0.394,classification_match;delivery_fit;gap_qualification_bridge;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.045,-0.03
8,general_affairs_to_hrd,총무,교육훈련운영,True,1,272,교육훈련운영,4,경영·회계·사무,인사,20,집체훈련현장실습,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_qualification_bridge;level_fit;query_text_match;resolved_scope_unit_link;source_element_coverage;source_ksa_concept_overlap;source_unit_link;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;transition_unit_link,True,True,0,1,13,0,0.1713,0.0,0.2,0.0
8,general_affairs_to_hrd,총무,교육훈련운영,True,2,271,핵심인재관리,5,경영·회계·사무,인사,24,집체훈련현장실습,0.563,medium,0.5627,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,0,0,1,0,0.0124,0.0,0.22,0.0
8,general_affairs_to_hrd,총무,교육훈련운영,False,3,281,노사관계 교육훈련,4,경영·회계·사무,노무관리,16,집체훈련현장실습,0.489,low,0.4894,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,0,0,2,0,0.0248,0.0,0.1,0.0
8,general_affairs_to_hrd,총무,교육훈련운영,False,4,282,단체교섭준비,5,경영·회계·사무,노무관리,20,집체훈련현장실습,0.231,low,0.2309,classification_match;delivery_fit;level_fit;non_target_labor_course_penalty;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,0,0,1,0,0.0056,0.0,0.0,-0.12
8,general_affairs_to_hrd,총무,교육훈련운영,True,5,266,인사기획,6,경영·회계·사무,인사,24,집체훈련,0.427,low,0.427,classification_match;delivery_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.16,-0.03
9,labor_management_to_compensation,노무관리,임금관리,True,1,273,임금관리,5,경영·회계·사무,인사,30,집체훈련현장실습,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_ksa_concept_coverage;gap_qualification_bridge;level_fit;practice_delivery_fit;query_text_match;resolved_scope_unit_link;source_element_coverage;source_ksa_concept_overlap;source_unit_link;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_direct_ksa_coverage;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;transition_unit_link,True,True,1,0,7,0,0.1413,0.0236,0.2,0.0
9,labor_management_to_compensation,노무관리,임금관리,True,2,274,급여지급,3,경영·회계·사무,인사,20,집체훈련현장실습,0.705,medium,0.7049,classification_match;delivery_fit;gap_ksa_concept_coverage;practice_delivery_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_direct_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,1,0,0,0,0.084,0.0145,0.24,0.0
9,labor_management_to_compensation,노무관리,임금관리,True,3,282,단체교섭준비,5,경영·회계·사무,노무관리,20,집체훈련현장실습,0.505,medium,0.505,classification_match;current_scope_support_bridge;delivery_fit;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage,False,True,0,0,0,0,0.0,0.0,0.2,-0.04
9,labor_management_to_compensation,노무관리,임금관리,False,4,283,단체교섭,6,경영·회계·사무,노무관리,24,집체훈련현장실습,0.413,low,0.4125,classification_match;current_scope_support_bridge;delivery_fit;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage,False,True,0,0,0,0,0.0,0.0,0.12,-0.04
9,labor_management_to_compensation,노무관리,임금관리,False,5,266,인사기획,6,경영·회계·사무,인사,24,집체훈련,0.508,medium,0.5076,classification_match;delivery_fit;gap_ksa_concept_coverage;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage;diversity_penalty,False,True,0,0,1,0,0.0248,0.0047,0.18,-0.03
10,labor_management_to_recruiting,노무관리,인력채용,True,1,268,인력채용,5,경영·회계·사무,인사,30,집체훈련현장실습,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_qualification_bridge;level_fit;query_text_match;resolved_scope_unit_link;source_element_coverage;source_ksa_concept_overlap;source_unit_link;target_job_base_signal;target_support_course_hint;time_depth_fit;training_goal_ksa_coverage;transition_unit_link,True,True,0,1,0,0,0.0224,0.0,0.2,0.0
10,labor_management_to_recruiting,노무관리,인력채용,True,2,267,직무관리,5,경영·회계·사무,인사,24,집체훈련현장실습,0.579,medium,0.579,classification_match;delivery_fit;gap_qualification_bridge;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage,False,True,0,0,0,0,0.0,0.0,0.2,0.0
10,labor_management_to_recruiting,노무관리,인력채용,True,3,266,인사기획,6,경영·회계·사무,인사,24,집체훈련,0.529,medium,0.5287,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage;diversity_penalty,False,True,0,0,1,0,0.0124,0.0,0.22,-0.03
10,labor_management_to_recruiting,노무관리,인력채용,False,4,271,핵심인재관리,5,경영·회계·사무,인사,24,집체훈련현장실습,0.445,low,0.4452,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage;diversity_penalty,False,True,0,0,1,0,0.0124,0.0,0.12,-0.03
10,labor_management_to_recruiting,노무관리,인력채용,False,5,269,인력이동관리,5,경영·회계·사무,인사,20,집체훈련현장실습,0.408,low,0.4078,classification_match;delivery_fit;gap_qualification_bridge;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.045,-0.03
11,labor_management_to_hrd,노무관리,교육훈련운영,True,1,272,교육훈련운영,4,경영·회계·사무,인사,20,집체훈련현장실습,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_qualification_bridge;level_fit;query_text_match;resolved_scope_unit_link;source_element_coverage;source_ksa_concept_overlap;source_unit_link;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;transition_unit_link,True,True,0,1,13,0,0.1713,0.0,0.2,0.0
11,labor_management_to_hrd,노무관리,교육훈련운영,True,2,271,핵심인재관리,5,경영·회계·사무,인사,24,집체훈련현장실습,0.563,medium,0.5627,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,0,0,1,0,0.0124,0.0,0.22,0.0
11,labor_management_to_hrd,노무관리,교육훈련운영,True,3,281,노사관계 교육훈련,4,경영·회계·사무,노무관리,16,집체훈련현장실습,0.449,low,0.4494,classification_match;current_scope_support_bridge;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,0,0,2,0,0.0248,0.0,0.1,-0.04
11,labor_management_to_hrd,노무관리,교육훈련운영,False,4,266,인사기획,6,경영·회계·사무,인사,24,집체훈련,0.427,low,0.427,classification_match;delivery_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.16,-0.03
11,labor_management_to_hrd,노무관리,교육훈련운영,False,5,267,직무관리,5,경영·회계·사무,인사,24,집체훈련현장실습,0.417,low,0.4165,classification_match;delivery_fit;gap_qualification_bridge;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.08,-0.03
12,labor_management_to_benefits,노무관리,복리후생관리,True,1,275,복리후생관리,4,경영·회계·사무,인사,20,집체훈련현장실습,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;gap_job_base_bridge;gap_qualification_bridge;level_fit;query_text_match;resolved_scope_unit_link;source_element_coverage;source_ksa_concept_overlap;source_unit_link;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_ksa_coverage;transition_unit_link,True,True,0,3,0,0,0.0671,0.0,0.2,0.0
12,labor_management_to_benefits,노무관리,복리후생관리,True,2,273,임금관리,5,경영·회계·사무,인사,30,집체훈련현장실습,0.593,medium,0.5925,classification_match;delivery_fit;gap_qualification_bridge;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage,False,True,0,0,0,0,0.0,0.0,0.22,0.0
12,labor_management_to_benefits,노무관리,복리후생관리,True,3,266,인사기획,6,경영·회계·사무,인사,24,집체훈련,0.451,low,0.451,classification_match;delivery_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.18,-0.03
12,labor_management_to_benefits,노무관리,복리후생관리,False,4,274,급여지급,3,경영·회계·사무,인사,20,집체훈련현장실습,0.443,low,0.4425,classification_match;delivery_fit;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.14,-0.03
12,labor_management_to_benefits,노무관리,복리후생관리,False,5,272,교육훈련운영,4,경영·회계·사무,인사,20,집체훈련현장실습,0.394,low,0.394,classification_match;delivery_fit;gap_qualification_bridge;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.045,-0.03
13,recruiting_to_hr_planning,인력채용,인사기획,True,1,266,인사기획,6,경영·회계·사무,인사,24,집체훈련,1.0,high,1.0,career_path_unit_link;classification_match;delivery_fit;level_fit;query_text_match;resolved_scope_unit_link;source_element_coverage;source_ksa_concept_overlap;source_unit_link;target_job_base_signal;target_support_course_hint;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;transition_unit_link,True,True,0,2,10,0,0.144,0.0,0.2,0.0
13,recruiting_to_hr_planning,인력채용,인사기획,True,2,267,직무관리,5,경영·회계·사무,인사,24,집체훈련현장실습,0.567,medium,0.5665,classification_match;delivery_fit;level_fit;sibling_classification_link;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage,False,True,0,0,0,0,0.0,0.0,0.24,0.0
13,recruiting_to_hr_planning,인력채용,인사기획,False,3,284,단체협약이행,3,경영·회계·사무,노무관리,20,집체훈련현장실습,0.209,low,0.2087,classification_match;delivery_fit;non_target_labor_course_penalty;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;time_depth_fit;time_efficiency;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage,False,True,0,0,1,0,0.0124,0.0,0.0,-0.12
13,recruiting_to_hr_planning,인력채용,인사기획,False,4,273,임금관리,5,경영·회계·사무,인사,30,집체훈련현장실습,0.48,low,0.4804,classification_match;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;training_goal_element_implied_ksa_coverage;training_goal_ksa_coverage;unit_element_coverage;diversity_penalty,False,True,0,0,1,0,0.0124,0.0,0.16,-0.03
13,recruiting_to_hr_planning,인력채용,인사기획,True,5,268,인력채용,5,경영·회계·사무,인사,30,집체훈련현장실습,0.44,low,0.4403,classification_match;current_scope_support_bridge;delivery_fit;level_fit;sibling_classification_link;source_ksa_concept_overlap;target_job_base_signal;target_support_course_hint;time_depth_fit;unit_element_coverage;diversity_penalty,False,True,0,0,0,0,0.0,0.0,0.18,-0.07
